"id","item_number","description","cost","mode","type","active"
"10067","HCC","UPDATE","125",NULL,"inventoryitem",True
"10068","B-781","ARIEL: XHD NUT,10.1#,RND,H:E:K","465",NULL,"inventoryitem",True
"10069","2-7/16"" X 102"" KEYED SHORT","UPDATE",NULL,NULL,"inventoryitem",True
"1007","2W-9062","RETAINER CAT",NULL,"CONSUMABLE","inventoryitem",True
"10070","ARIEL; CPI 1/4"" LUBRICATOR PUMP","ARIEL; CPI 1/4"" LUBRICATOR PUMP",NULL,NULL,"inventoryitem",True
"10071","57500-0080","UPDATE",NULL,NULL,"inventoryitem",True
"10072","P050","UPDATE",NULL,"Admin","inventoryitem",False
"10073","P71","UPDATE","300",NULL,"inventoryitem",True
"10074","B-2373-DD","ARIEL: DIS VLV,147CT, MTX","1010",NULL,"inventoryitem",True
"10075","B-2895-S","ARIEL: SUC VLV,147CT,NYX,D/S","1279",NULL,"inventoryitem",True
"10076","KVI-MH-425-164","USE PN K-425-164 ( DO NOT USE )",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",False
"10077","2FC2","UPDATE",NULL,NULL,"inventoryitem",True
"10078","KB-5201-MM","ARIEL: VALVE KIT, 152APV,PCX","514.45",NULL,"inventoryitem",True
"10079","456-399","UPDATE",NULL,NULL,"inventoryitem",True
"1008","2X2X1/8 ANGLE","2X2X1/8 ANGLE",NULL,"CONSUMABLE","inventoryitem",True
"10080","1S-4296","UPDATE",NULL,NULL,"inventoryitem",True
"10081","B-1365-M","ARIEL: DIS VLV,105CRO,MTX","799",NULL,"inventoryitem",True
"10082","B-1364-L","ARIEL: SUC VLV,105CRE,NYX","922",NULL,"inventoryitem",True
"10083","COMPRESSED GRAPHITE GASKET - RECTNAGULAR PINK","COMPRESSED GRAPHITE GASKET - RECTNAGULAR PINK",NULL,NULL,"inventoryitem",True
"10084","M-4024946","CUMMINS: GASKET SET - UPPER ENGINE","152.09",NULL,"inventoryitem",True
"10085","326-7940","326-7940","16.51",NULL,"inventoryitem",True
"10086","VALVE CONTAINING A-3135, A-335 SUCTION","UNKNOWN; CAN'T FIND; DNI",NULL,NULL,"inventoryitem",True
"10087","3S-5849","3S-5849","3.82",NULL,"inventoryitem",True
"10088","M494570","UPDATE",NULL,NULL,"inventoryitem",True
"1009","2X50-180","SANDPAPER  180 GRIT  2"""" X 50F",NULL,"CONSUMABLE","inventoryitem",True
"10091","782-7162","UPDATE",NULL,NULL,"inventoryitem",True
"10092","623-1000-1-1-2-6","PRESSURE TRANSMITTER, 0 PSIG TO 1000 PSIG, 0.25% ACCURACY (BFSL), 4 MA TO 20 MA OUTPUT, 1/4 NPT MALE, 1/2 NPT CONDUIT W/ 6 FT CABLE ATTACHED","930",NULL,"inventoryitem",True
"10093","623-2000-1-1-2-6","PRESSURE TRANSMITTER, 0 PSIG TO 2000 PSIG, 0.25% ACCURACY (BFSL), 4 MA TO 20 MA OUTPUT, 1/4 NPT MALE, 1/2 NPT CONDUIT W/ 6 FT CABLE ATTACHED","794",NULL,"inventoryitem",True
"10094","4306776","UPDATE",NULL,NULL,"inventoryitem",True
"10095","BT-8877-MPG","BALDWIN HYDRAULIC FILTER","149.99",NULL,"inventoryitem",True
"10096","MPV-691118-3","MPV-691118-3",NULL,"Admin","inventoryitem",False
