"id","number","unit_number","amount"
"27396952","10056","N400960","9000.00"
"27309071","10055","N11373","4500.00"
"27169127","10046","HC90039","150000.00"
"27142269","10045","HC90088","7800.00"
"27106869","10044","7528","4000.00"
"26768820","10040","7805","11999.00"
"26725243","10039","N72110","5852.00"
"26703194","10038","81001","12000.00"
"26614878","10037","HC20323","20250.00"
"40813511","10359","HC15012","2800.00"
"40796668","10357","7692","10400.00"
"33562467","10161","N90183","82877.21"
"33508613","10160","HC90123","24000.00"
"33466845","10159","HC15094","124858.38"
"32973489","10149","81004","5031.00"
"32725617","10147","HC90091","12499.00"
"31199813","Not Approved. ","HC90100","13674.00"
"31189631","10138","HC18020","46136.00"
"31048569","10137","HC15150","7499.00"
"30993278","10136","N72511","12000.00"
"30341812","10116","HC15192","19632.00"
"30284989","10115","N9012","3700.00"
"30175529","10114","HC18019","34449.00"
"28979084","10094","N400931","3504.00"
"28968937","10093","R1701","7100.00"
"28675141","10082","N72554","23000.00"
"28557448","10081","HC20201","23500.00"
"28489496","10079","N90183","45415.00"
"26526323","10036","81004","13500.00"
"26519053","10032","N9017","3900.00"
"33930498","10169","N77465","3500.00"
"32500739","10146","HC15193","8559.66"
"30067105","10113","7585","8800.00"
"29924323","10112","N8039","10500.00"
"27615234","10060","HC19314","42350.00"
"40637640","10350","HC19306","12000.00"
"40630334","10348","HC4037","5200.00"
"32496094","10145","HC90071","11700.00"
"32465773","10144","HC90146","8500.00"
"29479348","10102","N72420","3000.00"
"28963694","10092","N75395","16000.00"
"37996310","10256","N76276","9979.75"
"36167849","10231","N200959","7100.00"
"35928812","10215","HC4038","30250.00"
"35927631","10203","81018","26563.00"
"30975964","10135","HC17125","43000.00"
"24526424","10000","HC80002","9900.00"
"30975642","10134","N21702","45000.00"
"40177828","Completed by AFE Admin","N90172","10.00"
"25692711","10023","HC11103","7300.00"
"25677458","10022","N12429","17050.00"
"40182265","10334","N22506","20000.00"
"40180938","10332","N12250","4000.00"
"40180788","10331","HC90148","4000.00"
"39434475","Completed by AFE Admin","7596","5999.00"
"40172923","10328","N73962","10051.00"
"40169940","10327","N9003","2200.00"
"36167382","10230","HC11074","9500.00"
"36082776","10229","HC15193","17500.00"
"35927924","10207","HC90028","157714.00"
"35927851","10206","HC13049","35500.00"
"35927806","10205","HC4005","30250.00"
"35927666","10204","HC11042","35500.00"
"35472462","10185","N12217","6875.00"
"35052722","10177","N804566","25500.00"
"34921782","Completed by AFE Admin","HC17045","100000.00"
"34010295","10170","N9011","14332.45"
"30531519","10119","81008","8100.00"
"30497477","10117","RTL300","0.00"
"25653393","10018","N200839","3885.00"
"39957489","10325","N22506","20000.00"
"33883207","10167","N9015","6300.00"
"33015889","10151","HC3004","44000.00"
"25645808","10017","N200974","2700.00"
"25645536","10016","N9007","12500.00"
"25585846","10015","HC4013","18500.00"
"25136027","10008","81011","6000.00"
"25083217","10007","HC19317","17208.58"
"25083152","10006","HC19320","13964.26"
"25083062","10005","HC19316","13964.26"
"40184803","Completed by AFE Admin","N805553","19500.00"
"40177296","Completed by AFE Admin","N90172","6.00"
"39840096","Waiting for JM approval ","HC90038","90000.00"
"39616181","10311","HC1010","7000.00"
"40182061","Completed by AFE Admin","HC21405","130000.00"
"39616127","10310","HC1002","7000.00"
"24741831","10004","2202","12500.00"
"24741489","10003","N213","16200.00"
"24668722","10002","N402419","12500.00"
"24657449","10001","N90188","29000.00"
"40745210","10353","N301780","2300.00"
"40180701","10330","HC11099","4800.00"
"40180434","10329","N12247","10500.00"
"39837448","10320","RTL551","3700.00"
"39798934","10319","N213","11500.00"
"39751555","10318","7345","3557.34"
"39614226","10309","HC90015","107565.00"
"39612643","10308","HC11101","6000.00"
"37977553","10255","81010","3800.00"
"37936586","10259","HC90043","107565.00"
"37516248","Completed by AFE Admin","HC90116","275000.00"
"37497169","Completed by AFE Admin","HC90122","276000.00"
"37225454","10246","N4309","10000.00"
"39499107","Completed by AFE Admin","HC13072","57000.00"
"32453196","10141","HC13056","9300.00"
"32452539","10139","HC4035","21000.00"
"32049047","10143","HC19208","6500.00"
"30935253","10132","N804566","25500.00"
"29637368","10104","HC18019","15500.00"
"29350264","Completed by AFE Admin","HC11032","34000.00"
"28018672","10073","317","6500.00"
"40295630","10341","N21307","27797.85"
"39743287","10317","N73076","6000.00"
"39742033","10315","HC90095","1099.00"
"39649633","10312","N200898","11349.00"
"39556012","10306","HC13072","57000.00"
"39548323","10305","N4778","9200.00"
"39499696","10303","HC90038","90000.00"
"37217796","10245","RC0701","8900.00"
"36930835","10239","HC11075","10749.00"
"35927447","10200","HC4062","30250.00"
"27909026","10072","N805553","8000.00"
"27901900","10071","N805288","8000.00"
"27778374","10070","R1703","7900.00"
"27718169","10068","N805288","28000.00"
"26519140","10033","HC90075","3900.00"
"26122282","10028","N76275","9000.00"
"25405600","10014","N7428","12000.00"
"35884225","10191","N15009","13830.00"
"35824586","10190","RC0810","13000.00"
"35789168","10189","HC11075","10750.00"
"27716346","10067","HC20324","17158.66"
"25329875","10013","N200931","15500.00"
"25329783","10012","111015","12500.00"
"25218938","10010","HC10149","14175.00"
"40222447","10337","N301320","2350.00"
"40216963","10336","N11622","17900.00"
"40188251","10335","N805553","29500.00"
"39457508","10301","N200931","5350.00"
"27269315","10048","N90183","97204.90"
"26119296","10027","N77326","25000.00"
"26113847","10026","N301365","4400.00"
"39363780","10296","HC90078","48000.00"
"39362836","10298","N7691","4500.00"
"39356119","10295","HC15113","4097.42"
"26030506","10025","N978355","7500.00"
"25706416","10024","HC90049","4547.00"
"39211680","10297","N90183","14000.00"
"38800833","10281","HC19503","3100.00"
"38338073","AFE Request NOT APPROVED per Travis Yount","HC90050","164405.00"
"39895215","10324","HC90125","60000.00"
"39861559","10322","HC4006","4700.00"
"39850300","10321","11609","3000.00"
"25225040","10011","HC90016","8500.00"
"41161652","10369","HC11293","5500.00"
"41018311","10368","HC11046","12700.00"
"41006136","10367","N11385","2600.00"
"40993561","10366","HC17049","6169.00"
"40973042","Completed by AFE Admin","HC19820","75000.00"
"40920292","10364","HC17125","40000.00"
"40912901","10363","N400961","15000.00"
"40827798","Completed by AFE Admin","N805404","4500.00"
"40825421","10361","N410455","5000.00"
"40815105","10360","HC15023","2100.00"
"40813243","10358","HC11285","4250.00"
"40761844","10354","HC13049","4500.00"
"40657456","10351","N4778","4000.00"
"40630615","10349","N22501","12000.00"
"40236992","10338","704010","4501.00"
"40065732","10326","N4044","12500.00"
"39903614","10323","HC90032","11762.85"
"39742152","10316","HC90094","1099.00"
"39741322","10314","HC4014","1100.00"
"39735294","10313","HC90068","10000.00"
"39562740","10307","HC80002","7000.00"
"39495054","10302","HC11282","7500.00"
"38199009","10262","7540","6750.00"
"38198157","10261","HC19318","7025.00"
"38181465","10269","HC18004","2231.00"
"38180749","10268","HC13009","2296.85"
"38046989","10260","N21309","3765.00"
"38046249","10257","HC90015","4610.00"
"41441537","Completed by AFE Admin","HC90038","70000.00"
"37935318","10258","HC90028","107565.00"
"37626402","10253","HC13046","9400.00"
"35928662","10214","HC4010","30250.00"
"35928638","10213","HC4031","30250.00"
"35928570","10212","HC4032","30250.00"
"35928499","10211","HC4024","30250.00"
"33321550","10158","HC90022","35000.00"
"33262180","10156","R1102","28000.00"
"30790612","10128","N11335","10098.85"
"30714721","10127","N805553","24500.00"
"30709087","10126","HC90078","11851.00"
"30668346","10125","NMC2983","15500.00"
"30635944","10124","N9013","11500.00"
"30618051","10123","N11335","3500.00"
"30611647","10122","HC4050","5000.00"
"30590996","10121","N704172","16750.00"
"41487000","10368","HC11046","16599.00"
"30577554","10120","216","15500.00"
"30497510","10118","1025","18500.00"
"41465259","10376","HC90038","70000.00"
"41322019","Completed by AFE Admin","81001","3562.94"
"41320931","10374","HC13003","5300.00"
"41255360","10373","HC12023","17200.00"
"41247120","Completed by AFE Admin","HC15093","10000.00"
"29830707","10109","N11335","5564.00"
"28741123","10085","HC17049","14000.00"
"28735971","10084","HC11078","5200.00"
"27171629","10047","HC11280","10600.00"
"25656240","10021","HC4026","5623.00"
"41218539","10371","HC4051","3700.00"
"25653717","10020","N200962","11100.00"
"25653647","10019","N200983","11100.00"
"41166443","10370","71003","4000.00"
